denovo	std	IBD_logabun	nonIBD_logabun	delta_logabun	snr	abs_snr	IBD_presence	nonIBD_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Acidaminococcus	0.4753844668016842	-3.845981003120556	-3.708685715067752	-0.13729528805280378	-0.2888089486316328	0.2888089486316328	0.029850746268656716	0.125	-0.09514925373134328	0.09514925373134328	43	37
g__Eggerthella	0.48941189623317527	-3.6488200324835094	-3.6104682312087477	-0.03835180127476168	-0.07836303442957046	0.07836303442957046	0.23880597014925373	0.3333333333333333	-0.09452736318407959	0.09452736318407959	65	38
g__Raoultella	0.49052421383579675	-3.7208436688326905	-3.8895655282458246	0.1687218594131341	0.34396234610675885	0.34396234610675885	0.13432835820895522	0.041666666666666664	0.09266169154228857	0.09266169154228857	36	39
g__Hydrogenoanaerobacterium	0.22968479171773107	-3.9164539485499272	-3.7866688406381805	-0.1297851079117467	-0.5650574726394809	0.5650574726394809	0.0	0.08333333333333333	-0.08333333333333333	0.08333333333333333	17	40
g__Anaerotruncus	0.17970796841015257	-3.9164539485499272	-3.815615479766345	-0.10083846878358216	-0.5611240818962222	0.5611240818962222	0.0	0.08333333333333333	-0.08333333333333333	0.08333333333333333	18	41
g__Pseudoflavonifractor	0.3508638049036393	-3.8621510580983323	-3.734648458004253	-0.1275026000940791	-0.3633962760253832	0.3633962760253832	0.04477611940298507	0.125	-0.08022388059701493	0.08022388059701493	32	42
g__Granulicatella	0.4348681995207896	-3.748473326144574	-3.874757641248601	0.12628431510402693	0.2903967575536406	0.2903967575536406	0.11940298507462686	0.041666666666666664	0.07773631840796019	0.07773631840796019	42	43
g__Prevotella	0.8523864062708343	-3.6608722544846035	-3.586840917196016	-0.07403133728858746	-0.08685185116040553	0.08685185116040553	0.08955223880597014	0.16666666666666666	-0.07711442786069651	0.07711442786069651	64	44
g__Natranaerovirga	0.5502540677474824	-3.7392492547643594	-3.9164539485499255	0.17720469378556603	0.3220415880085546	0.3220415880085546	0.07462686567164178	0.0	0.07462686567164178	0.07462686567164178	37	45
g__Actinomyces	0.37168435775010644	-3.8042504402213106	-3.9164539485499255	0.11220350832861481	0.30187847830834	0.30187847830834	0.07462686567164178	0.0	0.07462686567164178	0.07462686567164178	40	46
g__Atopobium	0.33480025666912067	-3.8162473912017427	-3.9164539485499255	0.10020655734818273	0.2993025105330661	0.2993025105330661	0.07462686567164178	0.0	0.07462686567164178	0.07462686567164178	41	47
g__Megasphaera	0.5845449119833164	-3.7738426442853426	-3.521006310166142	-0.2528363341192006	-0.43253534319774706	0.43253534319774706	0.13432835820895522	0.20833333333333334	-0.07400497512437812	0.07400497512437812	23	48
g__Clostridium_XVIII	0.8483170317087588	-3.1053987846181057	-2.995668391986938	-0.1097303926311679	-0.12935068910515538	0.12935068910515538	0.5522388059701493	0.625	-0.0727611940298507	0.0727611940298507	61	49
g__Paraprevotella	0.28817876411298793	-3.8768307839726504	-3.799020603830533	-0.07781018014211716	-0.2700066411264421	0.2700066411264421	0.029850746268656716	0.08333333333333333	-0.05348258706467661	0.05348258706467661	46	50
g__Clostridium_XlVb	0.810292300333271	-3.4370702123509878	-3.4575273260464354	0.02045711369544767	0.02524658532116585	0.02524658532116585	0.2835820895522388	0.3333333333333333	-0.04975124378109452	0.04975124378109452	71	51
g__Clostridium_XI	0.8287873928900736	-2.800929372726804	-3.0624475661220756	0.2615181933952715	0.31554316057261506	0.31554316057261506	0.7164179104477612	0.6666666666666666	0.04975124378109452	0.04975124378109452	38	52
g__Erysipelotrichaceae_incertae_sedis	0.8093177749542954	-3.2222937142478134	-3.2844790828928674	0.06218536864505397	0.07683677607175472	0.07683677607175472	0.5074626865671642	0.4583333333333333	0.049129353233830886	0.049129353233830886	66	53
g__Sarcina	0.13182771482214445	-3.9164539485499272	-3.864055771465735	-0.052398177084192366	-0.3974746672570744	0.3974746672570744	0.0	0.041666666666666664	-0.041666666666666664	0.041666666666666664	27	54
g__Butyrivibrio	0.14785839375414855	-3.9164539485499272	-3.857683982691332	-0.058769965858595175	-0.397474667257071	0.397474667257071	0.0	0.041666666666666664	-0.041666666666666664	0.041666666666666664	28	55
g__Veillonella	1.1186844019657949	-2.731898842341575	-3.049292698373915	0.31739385603234016	0.28372064138429354	0.28372064138429354	0.582089552238806	0.5416666666666666	0.040422885572139355	0.040422885572139355	44	56
g__Abiotrophia	0.328633037443062	-3.815957472144815	-3.8909326422307564	0.07497517008594157	0.22814252233825258	0.22814252233825258	0.07462686567164178	0.041666666666666664	0.03296019900497512	0.03296019900497512	49	57
g__Peptoniphilus	0.25266438818330744	-3.865719600827688	-3.9164539485499255	0.050734347722237505	0.20079738219946472	0.20079738219946472	0.029850746268656716	0.0	0.029850746268656716	0.029850746268656716	51	58
g__Coprococcus	0.8705975092947771	-3.2865448581002297	-3.2992346864420283	0.012689828341798659	0.014575998904566114	0.014575998904566114	0.3880597014925373	0.4166666666666667	-0.028606965174129362	0.028606965174129362	72	59
g__Clostridium_sensu_stricto	0.8973145560633567	-3.260180998701139	-3.4784248732591667	0.21824387455802752	0.24321891702670423	0.24321891702670423	0.40298507462686567	0.375	0.02798507462686567	0.02798507462686567	47	60
g__Lactobacillus	0.8805672680076876	-3.5017079177370674	-3.641370738360134	0.13966282062306679	0.15860550999023448	0.15860550999023448	0.19402985074626866	0.16666666666666666	0.027363184079602004	0.027363184079602004	54	61
g__Catenibacterium	0.25232289059762003	-3.8824520726754215	-3.883004488921319	0.0005524162458976356	0.0021893227546230646	0.0021893227546230646	0.014925373134328358	0.041666666666666664	-0.026741293532338305	0.026741293532338305	75	62
g__Negativicoccus	0.21439417614538928	-3.8873808859466745	-3.8895655282458246	0.0021846422991500525	0.01018983975417578	0.01018983975417578	0.014925373134328358	0.041666666666666664	-0.026741293532338305	0.026741293532338305	73	63
g__Barnesiella	0.24216857739382608	-3.894936170204979	-3.840572283557225	-0.05436388664775382	-0.22448778133318545	0.22448778133318545	0.014925373134328358	0.041666666666666664	-0.026741293532338305	0.026741293532338305	50	64
g__Enterobacter	0.3260565362837764	-3.845289913658529	-3.798285096970252	-0.04700481668827683	-0.14416155315888893	0.14416155315888893	0.05970149253731343	0.08333333333333333	-0.023631840796019897	0.023631840796019897	56	65
g__Dialister	1.165440643901021	-2.9421350020051102	-2.868235134612977	-0.07389986739213317	-0.06340937891506156	0.06340937891506156	0.47761194029850745	0.5	-0.022388059701492546	0.022388059701492546	67	66
g__Pediococcus	0.5085944581378186	-3.7841336867424684	-3.8364092015642783	0.05227551482180992	0.10278427927274886	0.10278427927274886	0.05970149253731343	0.041666666666666664	0.018034825870646767	0.018034825870646767	62	67
g__Parvimonas	0.28796076616431576	-3.8754543868612408	-3.9164539485499255	0.04099956168868468	0.14237898528610515	0.14237898528610515	0.014925373134328358	0.0	0.014925373134328358	0.014925373134328358	57	68
g__Butyricimonas	0.2521690316450561	-3.880550377703723	-3.9164539485499255	0.03590357084620255	0.14237898528610404	0.14237898528610404	0.014925373134328358	0.0	0.014925373134328358	0.014925373134328358	58	69
g__Succinivibrio	0.2021110608913473	-3.8876775807851183	-3.9164539485499255	0.028776367764807187	0.14237898528609993	0.14237898528609993	0.014925373134328358	0.0	0.014925373134328358	0.014925373134328358	59	70
g__Hallella	0.2565915993888853	-3.870987431383971	-3.878964609738631	0.00797717835465983	0.031089008267062446	0.031089008267062446	0.029850746268656716	0.041666666666666664	-0.011815920398009949	0.011815920398009949	70	71
g__Turicibacter	0.4051304325956728	-3.7551084628474873	-3.809400996588082	0.05429253374059462	0.13401247937051303	0.13401247937051303	0.13432835820895522	0.125	0.009328358208955223	0.009328358208955223	60	72
g__Lactococcus	0.30603876833063	-3.8336373133930386	-3.8202704722372336	-0.013366841155804998	-0.04367695383404526	0.04367695383404526	0.07462686567164178	0.08333333333333333	-0.008706467661691544	0.008706467661691544	68	73
g__Peptostreptococcus	0.4437768726805475	-3.8311722928651144	-3.816674410559404	-0.014497882305710252	-0.03266930567638333	0.03266930567638333	0.04477611940298507	0.041666666666666664	0.0031094527363184077	0.0031094527363184077	69	74
g__Sutterella	0.6451594130135102	-3.6596850917065775	-3.6616793036648994	0.0019942119583218343	0.0030910375297896705	0.0030910375297896705	0.16417910447761194	0.16666666666666666	-0.002487562189054715	0.002487562189054715	74	75
