denovo	std	CRC_logabun	H_logabun	nonCRC_logabun	delta_logabun	snr	abs_snr	CRC_presence	H_presence	nonCRC_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Parabacteroides	1.37438136998	-2.97202027897	-3.04538236303	-3.02478049715	0.0733620840578	0.0533782585097	0.0533782585097	0.858333333333	0.81976744186	0.823232323232	0.0385658914729	0.0385658914729	124	59
g__Alloscardovia	0.336169649671	-5.55856330087	-5.65224702276	-5.60111449165	0.0936837218953	0.278679892688	0.278679892688	0.05	0.0116279069767	0.040404040404	0.0383720930233	0.0383720930233	23	60
g__Prevotella	1.71902667426	-3.74251383938	-4.04201196676	-3.87244656268	0.299498127385	0.174225410152	0.174225410152	0.625	0.587209302326	0.60101010101	0.0377906976744	0.0377906976744	54	61
g__Megamonas	0.658105510737	-5.4670643278	-5.59804057413	-5.49595498986	0.130976246338	0.199020133095	0.199020133095	0.0666666666667	0.0290697674419	0.0656565656566	0.0375968992248	0.0375968992248	45	62
g__Flavonifractor	1.0147442717	-3.27915455079	-3.29219841868	-3.37294110475	0.013043867898	0.0128543400162	0.0128543400162	0.891666666667	0.854651162791	0.863636363636	0.037015503876	0.037015503876	155	63
g__Acinetobacter	0.420802714027	-5.60761827548	-5.52841974554	-5.58799702187	-0.0791985299388	-0.188208220382	0.188208220382	0.0333333333333	0.0697674418605	0.0505050505051	-0.0364341085271	0.0364341085271	50	64
g__Neisseria	0.554044762598	-5.46681602608	-5.54411653359	-5.51225405847	0.0773005075129	0.139520328918	0.139520328918	0.1	0.0639534883721	0.0808080808081	0.0360465116279	0.0360465116279	70	65
g__Anaerotruncus	0.959310723594	-4.94628917078	-5.03185007405	-4.99323179629	0.0855609032758	0.0891899789833	0.0891899789833	0.366666666667	0.331395348837	0.358585858586	0.0352713178295	0.0352713178295	95	66
g__Pediococcus	0.393843702895	-5.54190412504	-5.62739632717	-5.6073185514	0.085492202127	0.217071395324	0.217071395324	0.0583333333333	0.0232558139535	0.030303030303	0.0350775193798	0.0350775193798	40	67
g__Clostridium_sensu_stricto	1.2900195472	-2.94457164168	-2.86409505586	-2.82617807728	-0.0804765858152	-0.0623840049478	0.0623840049478	0.866666666667	0.901162790698	0.89898989899	-0.034496124031	0.034496124031	114	68
g__Solobacterium	0.413223638879	-5.50324903429	-5.58125067055	-5.5843939358	0.0780016362586	0.18876373208	0.18876373208	0.0916666666667	0.0581395348837	0.0555555555556	0.0335271317829	0.0335271317829	49	69
g__Aeromonas	0.230662651474	-5.60200252931	-5.66738570209	-5.63988464625	0.0653831727757	0.283457995293	0.283457995293	0.0333333333333	0.0	0.0151515151515	0.0333333333333	0.0333333333333	21	70
g__Mogibacterium	1.15317829551	-4.59059875897	-4.73223505238	-4.58140115448	0.141636293409	0.122822545274	0.122822545274	0.491666666667	0.459302325581	0.489898989899	0.0323643410853	0.0323643410853	75	71
g__Paraprevotella	1.23719856156	-4.95407915871	-5.01190625466	-4.92277482429	0.0578270959439	0.0467403517435	0.0467403517435	0.275	0.244186046512	0.328282828283	0.0308139534884	0.0308139534884	135	72
g__Ruminococcus	1.01149549281	-1.99128265239	-1.9863226849	-1.74766466115	-0.0049599674859	-0.00490359820794	0.00490359820794	0.983333333333	0.953488372093	0.979797979798	0.0298449612403	0.0298449612403	161	73
g__Clostridium_XlVb	1.07990628213	-3.21810451249	-3.40988145374	-3.36070655671	0.191776941245	0.177586652118	0.177586652118	0.866666666667	0.837209302326	0.878787878788	0.0294573643411	0.0294573643411	52	74
g__Pseudobutyrivibrio	0.55548592788	-5.54298543538	-5.58616110427	-5.47975285797	0.0431756688898	0.0777259453802	0.0777259453802	0.0583333333333	0.0290697674419	0.0858585858586	0.0292635658915	0.0292635658915	105	75
g__Succinivibrio	0.591029892187	-5.48421839694	-5.54281097797	-5.59389111246	0.0585925810359	0.0991364088524	0.0991364088524	0.075	0.046511627907	0.030303030303	0.028488372093	0.028488372093	85	76
g__Holdemania	0.808461661492	-5.20065801341	-5.21706626925	-5.10939481165	0.0164082558458	0.020295651145	0.020295651145	0.283333333333	0.255813953488	0.323232323232	0.027519379845	0.027519379845	151	77
g__Slackia	1.04555797135	-5.09302353872	-5.15638478339	-5.1591455608	0.0633612446768	0.0606004128062	0.0606004128062	0.225	0.197674418605	0.217171717172	0.0273255813953	0.0273255813953	116	78
g__Acetanaerobacterium	1.0514298571	-4.78109320987	-4.87820468092	-4.80789512958	0.0971114710452	0.0923613405021	0.0923613405021	0.416666666667	0.389534883721	0.429292929293	0.0271317829457	0.0271317829457	92	79
g__Anaerofustis	0.91756293981	-4.99698444612	-5.02869452041	-5.00150150659	0.0317100742935	0.034559018153	0.034559018153	0.358333333333	0.331395348837	0.373737373737	0.0269379844961	0.0269379844961	139	80
g__Sutterella	0.991111522573	-5.32768658647	-5.25881577948	-5.09905508085	-0.0688708069874	-0.069488453538	0.069488453538	0.141666666667	0.168604651163	0.232323232323	-0.0269379844961	0.0269379844961	112	81
g__Salmonella	0.407451345512	-5.55996024224	-5.62272292695	-5.58009996126	0.0627626847034	0.154037249833	0.154037249833	0.05	0.0232558139535	0.0454545454545	0.0267441860465	0.0267441860465	64	82
g__Citrobacter	0.642331462864	-5.57037076127	-5.47818281166	-5.44898691433	-0.0921879496147	-0.143520837674	0.143520837674	0.05	0.0755813953488	0.10101010101	-0.0255813953488	0.0255813953488	67	83
g__Morganella	0.24414139864	-5.61098450551	-5.66738570209	-5.64238282255	0.0564011965771	0.231018569121	0.231018569121	0.025	0.0	0.010101010101	0.025	0.025	32	84
g__Lactococcus	1.02278528792	-4.94955864247	-4.9019260456	-5.08157031814	-0.047632596863	-0.0465714528997	0.0465714528997	0.341666666667	0.366279069767	0.308080808081	-0.0246124031008	0.0246124031008	136	85
g__Paenibacillus	0.333234221654	-5.58150178996	-5.63596042711	-5.60885675981	0.0544586371547	0.163424503295	0.163424503295	0.0416666666667	0.0174418604651	0.030303030303	0.0242248062016	0.0242248062016	59	86
g__Anaerophaga	0.519224629755	-5.57304487934	-5.62325974762	-5.53757332763	0.0502148682738	0.0967112602062	0.0967112602062	0.0416666666667	0.0174418604651	0.040404040404	0.0242248062016	0.0242248062016	87	87
g__Oribacterium	0.378084322553	-5.62929299252	-5.60595108915	-5.53822341412	-0.0233419033761	-0.0617372950521	0.0617372950521	0.0166666666667	0.0406976744186	0.0808080808081	-0.0240310077519	0.0240310077519	115	88
g__Abiotrophia	0.231533037761	-5.66738570209	-5.62762098617	-5.62565237567	-0.0397647159119	-0.171745321084	0.171745321084	0.0	0.0232558139535	0.0252525252525	-0.0232558139535	0.0232558139535	56	89
g__Bulleidia	0.397363553219	-5.5954895514	-5.64004866053	-5.59782698872	0.0445591091274	0.11213688011	0.11213688011	0.0333333333333	0.0116279069767	0.020202020202	0.0217054263566	0.0217054263566	81	90
g__Ralstonia	0.360836189257	-5.59055853068	-5.64830120085	-5.59879705766	0.0577426701718	0.160024609202	0.160024609202	0.0333333333333	0.0116279069767	0.030303030303	0.0217054263566	0.0217054263566	60	91
g__Pyramidobacter	0.369421513733	-5.58093119758	-5.64137973812	-5.6077962879	0.0604485405382	0.163630265946	0.163630265946	0.0333333333333	0.0116279069767	0.0252525252525	0.0217054263566	0.0217054263566	58	92
g__Alistipes	1.00517809903	-2.01101188555	-2.01864584852	-1.92189748319	0.00763396296497	0.00759463718153	0.00759463718153	0.975	0.953488372093	0.979797979798	0.021511627907	0.021511627907	158	93
g__Methanomassiliicoccus	0.360336035151	-5.55692326841	-5.62079465127	-5.6116984142	0.0638713828548	0.177255052573	0.177255052573	0.05	0.0290697674419	0.030303030303	0.0209302325581	0.0209302325581	53	94
g__Methanosphaera	0.750827677975	-5.51893045128	-5.56383569885	-5.41087500407	0.0449052475633	0.0598076614389	0.0598076614389	0.05	0.0290697674419	0.0808080808081	0.0209302325581	0.0209302325581	117	95
g__Vampirovibrio	0.871560520593	-5.35792176541	-5.33528504653	-5.26152176623	-0.0226367188828	-0.0259726299528	0.0259726299528	0.125	0.145348837209	0.181818181818	-0.0203488372093	0.0203488372093	145	96
g__Atopobium	0.456126171442	-5.54136032777	-5.57377848587	-5.4864494932	0.0324181580942	0.0710727867067	0.0710727867067	0.0833333333333	0.0639534883721	0.116161616162	0.0193798449612	0.0193798449612	110	97
g__Butyricimonas	1.30294893061	-4.73622327127	-4.61685603188	-4.37182352525	-0.119367239393	-0.0916131373907	0.0916131373907	0.4	0.418604651163	0.510101010101	-0.0186046511628	0.0186046511628	93	98
g__Clostridium_IV	0.630001181792	-1.9128515852	-2.0534524745	-2.01930888901	0.140600889297	0.22317559611	0.22317559611	1.0	0.982558139535	0.994949494949	0.0174418604651	0.0174418604651	36	99
g__Roseburia	0.654773925767	-1.64487392966	-1.62967585587	-1.61500794825	-0.0151980737845	-0.0232111774559	0.0232111774559	1.0	0.982558139535	0.994949494949	0.0174418604651	0.0174418604651	147	100
g__Gardnerella	0.161083078932	-5.66738570209	-5.64736017023	-5.64169382695	-0.0200255318547	-0.124318035063	0.124318035063	0.0	0.0174418604651	0.0151515151515	-0.0174418604651	0.0174418604651	74	101
g__Hydrogenoanaerobacterium	0.608554177268	-5.47214788169	-5.45313593708	-5.34383212619	-0.0190119446128	-0.0312411701751	0.0312411701751	0.116666666667	0.133720930233	0.20202020202	-0.0170542635659	0.0170542635659	140	102
g__Anaeroglobus	0.186061804782	-5.64335006584	-5.66738570209	-5.63887877642	0.0240356362507	0.129180926084	0.129180926084	0.0166666666667	0.0	0.0151515151515	0.0166666666667	0.0166666666667	71	103
g__Scardovia	0.188585922052	-5.64039894221	-5.66738570209	-5.6248059723	0.0269867598723	0.143100606761	0.143100606761	0.0166666666667	0.0	0.030303030303	0.0166666666667	0.0166666666667	68	104
g__Oscillibacter	0.966117774808	-2.37861618557	-2.45854506172	-2.39423417115	0.0799288761515	0.0827320211218	0.0827320211218	0.958333333333	0.941860465116	0.964646464646	0.0164728682171	0.0164728682171	100	105
g__Selenomonas	0.256767778993	-5.6028554791	-5.62592722366	-5.66738570209	0.0230717445592	0.0898545162082	0.0898545162082	0.0333333333333	0.0174418604651	0.0	0.0158914728682	0.0158914728682	94	106
g__Marvinbryantia	0.394254485757	-5.61571874505	-5.58620321201	-5.59499342511	-0.0295155330319	-0.0748641654014	0.0748641654014	0.025	0.0406976744186	0.0353535353535	-0.0156976744186	0.0156976744186	108	107
g__Akkermansia	1.32602195099	-2.36267603365	-2.43674645756	-2.31929188676	0.0740704239068	0.0558591234869	0.0558591234869	0.916666666667	0.901162790698	0.924242424242	0.015503875969	0.015503875969	121	108
g__Anaeroplasma	0.278534024595	-5.65296112272	-5.61726150641	-5.62878389127	-0.0356996163135	-0.128169678248	0.128169678248	0.00833333333333	0.0232558139535	0.020202020202	-0.0149224806202	0.0149224806202	72	109
g__Gemmiger	1.35493151146	-2.88934264633	-2.61646384056	-2.85068170342	-0.272878805779	-0.201396752139	0.201396752139	0.858333333333	0.872093023256	0.853535353535	-0.0137596899225	0.0137596899225	44	110
g__Odoribacter	1.36997164751	-3.91220813598	-3.84299776758	-3.57030457723	-0.0692103683948	-0.0505195625915	0.0505195625915	0.666666666667	0.68023255814	0.752525252525	-0.0135658914729	0.0135658914729	130	111
g__Anaerorhabdus	0.497706161337	-5.51909049233	-5.54866038144	-5.49599032034	0.0295698891146	0.0594123428875	0.0594123428875	0.0833333333333	0.0697674418605	0.10101010101	0.0135658914729	0.0135658914729	118	112
g__Moryella	0.251885938333	-5.62730994758	-5.64652166603	-5.61859528922	0.0192117184503	0.0762715004159	0.0762715004159	0.025	0.0116279069767	0.030303030303	0.0133720930233	0.0133720930233	107	113
g__Hallella	0.24045289544	-5.60864752224	-5.64675604118	-5.65534584141	0.0381085189374	0.158486421499	0.158486421499	0.025	0.0116279069767	0.00505050505051	0.0133720930233	0.0133720930233	61	114
g__Listeria	0.237310503127	-5.63230045751	-5.64062921455	-5.63925820333	0.00832875704303	0.0350964535209	0.0350964535209	0.025	0.0116279069767	0.0151515151515	0.0133720930233	0.0133720930233	138	115
g__Deinococcus	0.393797157821	-5.61405432631	-5.57683493554	-5.59643205852	-0.0372193907713	-0.0945141173117	0.0945141173117	0.0333333333333	0.046511627907	0.030303030303	-0.0131782945736	0.0131782945736	90	116
g__Eggerthia	0.757110886629	-5.40012793536	-5.31086763341	-5.3735404509	-0.089260301946	-0.117895943015	0.117895943015	0.15	0.162790697674	0.146464646465	-0.0127906976744	0.0127906976744	76	117
