denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Eubacterium	0.429542758186	-4.39692068047	-4.24649876392	-4.4110388555	-0.150421916557	-0.35019078704	0.35019078704	0.0860215053763	0.220779220779	0.0561797752809	-0.134757715403	0.134757715403	61	48
g__Buttiauxella	0.265048132961	-4.33260576529	-4.48620797832	-4.45298842125	0.153602213037	0.579525731122	0.579525731122	0.139784946237	0.00649350649351	0.0449438202247	0.133291439743	0.133291439743	33	49
g__Gemella	0.381190784627	-4.29563833542	-4.47462025282	-4.31188227088	0.178981917405	0.469533694474	0.469533694474	0.150537634409	0.025974025974	0.134831460674	0.124563608435	0.124563608435	44	50
g__Xylanibacter	0.321129929802	-4.49557208711	-4.3388008331	-4.48355560281	-0.156771254008	-0.488186367758	0.488186367758	0.0	0.116883116883	0.0112359550562	-0.116883116883	0.116883116883	42	51
g__Arthrobacter	0.310507702519	-4.34480229642	-4.47491402158	-4.34773245467	0.130111725165	0.419028977733	0.419028977733	0.139784946237	0.025974025974	0.134831460674	0.113810920263	0.113810920263	51	52
g__Veillonella	1.16212490714	-3.04035068217	-3.893105695	-3.30557841518	0.85275501283	0.733789464104	0.733789464104	0.58064516129	0.467532467532	0.561797752809	0.113112693758	0.113112693758	21	53
g__Akkermansia	1.19117215435	-3.60000292327	-3.64532192657	-3.64716437266	0.0453190032937	0.0380457208711	0.0380457208711	0.354838709677	0.467532467532	0.370786516854	-0.112693757855	0.112693757855	111	54
g__Parvimonas	0.325829893836	-4.33136842862	-4.48995008016	-4.40921358819	0.158581651541	0.486700743366	0.486700743366	0.118279569892	0.00649350649351	0.0674157303371	0.111786063399	0.111786063399	43	55
g__Methanobrevibacter	0.429116923077	-4.45821688122	-4.28456289248	-4.43699267853	-0.173653988737	-0.404677558489	0.404677558489	0.0322580645161	0.142857142857	0.0337078651685	-0.110599078341	0.110599078341	54	56
g__Kluyvera	0.563312162638	-4.23707733278	-4.47036129999	-4.25069395604	0.23328396721	0.414129114694	0.414129114694	0.129032258065	0.0194805194805	0.14606741573	0.109551738584	0.109551738584	52	57
g__Streptococcus	1.03413546686	-2.61920371816	-3.30487207387	-2.62171296893	0.685668355714	0.663035335006	0.663035335006	0.881720430108	0.779220779221	0.820224719101	0.102499650887	0.102499650887	28	58
g__Dysgonomonas	0.466308962519	-4.27189017317	-4.47364809235	-4.44688587347	0.201757919181	0.432670043678	0.432670043678	0.10752688172	0.00649350649351	0.0224719101124	0.101033375227	0.101033375227	48	59
g__Citrobacter	0.327050791368	-4.32184423092	-4.44181850161	-4.35486530265	0.119974270684	0.366836815109	0.366836815109	0.161290322581	0.0649350649351	0.123595505618	0.0963552576456	0.0963552576456	57	60
g__Staphylococcus	0.437379712931	-4.32429711346	-4.4715889319	-4.25741429659	0.147291818439	0.33675960289	0.33675960289	0.10752688172	0.012987012987	0.168539325843	0.0945398687334	0.0945398687334	62	61
g__Desulfovibrio	0.399931649211	-4.42886147286	-4.33458841433	-4.39552282776	-0.0942730585262	-0.235722925936	0.235722925936	0.0430107526882	0.136363636364	0.0561797752809	-0.0933528836755	0.0933528836755	79	62
g__Bacteroides	1.2138163152	-1.49580782582	-0.450468378598	-1.71553228374	-1.04533944722	-0.861200689207	0.861200689207	0.913978494624	1.0	0.887640449438	-0.0860215053763	0.0860215053763	18	63
g__Clostridium_III	0.29940587975	-4.46319706034	-4.35567495009	-4.47482575879	-0.107522110252	-0.35911823222	0.35911823222	0.0322580645161	0.116883116883	0.0224719101124	-0.084625052367	0.084625052367	59	64
g__Bordetella	0.211806860128	-4.49557208711	-4.40562040213	-4.49557208711	-0.0899516849765	-0.424687306738	0.424687306738	0.0	0.0844155844156	0.0	-0.0844155844156	0.0844155844156	50	65
g__Phascolarctobacterium	0.202891306119	-4.47655242062	-4.41333021355	-4.49557208711	-0.0632222070694	-0.31160628949	0.31160628949	0.0215053763441	0.0909090909091	0.0	-0.069403714565	0.069403714565	66	66
g__Robinsoniella	0.287890591835	-4.37053306539	-4.48755641976	-4.46824576261	0.11702335437	0.406485511124	0.406485511124	0.0752688172043	0.00649350649351	0.0112359550562	0.0687753107108	0.0687753107108	53	67
g__Cloacibacillus	0.309893441512	-4.48247111035	-4.41279022573	-4.38556744807	-0.06968088462	-0.22485433793	0.22485433793	0.010752688172	0.0779220779221	0.0674157303371	-0.06716938975	0.06716938975	81	68
g__Asteroleplasma	0.362407624436	-4.46680317442	-4.36374981906	-4.49557208711	-0.103053355367	-0.284357580852	0.284357580852	0.010752688172	0.0779220779221	0.0	-0.06716938975	0.06716938975	72	69
g__Aggregatibacter	0.150667253057	-4.42577228715	-4.49557208711	-4.48802269534	0.0697997999592	0.46327120554	0.46327120554	0.0645161290323	0.0	0.0112359550562	0.0645161290323	0.0645161290323	46	70
